Acc#,Symbol,B sig,E sig,FC
FBgn0033663,ERp60,7518,5924,-1.27
FBgn0028582,lqf,403,318,-1.27
FBgn0011744,Arp66B,977,771,-1.27
FBgn0033227,CG1548,3100,2452,-1.26
FBgn0005585,Crc,6618,5257,-1.26
FBgn0031376,CG10908,788,627,-1.26
FBgn0027836,Dgp-1,177,141,-1.25
FBgn0030329,CG1837,1959,1566,-1.25
FBgn0031260,shanti,4962,3991,-1.24
FBgn0000427,1-Dec,16222,13094,-1.24
FBgn0039902,CG2177,342,278,-1.23
FBgn0030529,CG10997,616,502,-1.23
FBgn0027948,msps,329,268,-1.23
FBgn0034059,CG8320,529,433,-1.22
FBgn0038524,sll,171,141,-1.21
FBgn0027932,Akap200,4210,3481,-1.21
FBgn0034277,CG6370,7397,6116,-1.21
FBgn0032015,CG7830,1891,1566,-1.21
FBgn0036651,CG3948,2121,1759,-1.21
FBgn0011336,OstStt3,5227,4340,-1.2
FBgn0028968,?Cop,1755,1459,-1.2
FBgn0032246,CG5168,510,424,-1.2
FBgn0037472,CG10098,436,363,-1.2
FBgn0000723,Fps85D,107,90,-1.19
FBgn0039580,Gfat2,766,641,-1.19
FBgn0034068,CG8400,449,377,-1.19
FBgn0032941,CG8669,3621,3063,-1.18
FBgn0036919,CG7809,1723,1461,-1.18
FBgn0004657,mys,417,357,-1.17
FBgn0014010,Rab5,608,522,-1.17
FBgn0020383,RasGAP,115,101,-1.14
FBgn0035148,CG3402,151,133,-1.14
FBgn0023423,slmb,196,179,-1.1
FBgn0015509,lin19,708,647,-1.09
FBgn0031666,CG8895,8286,7650,-1.08
FBgn0011745,Arp87C,1120,1038,-1.08
FBgn0029863,CG3823,111,107,-1.04
FBgn0034349,CG5186,135,133,-1.02
