target_id,Unnamed: 0,pval,qval,b,se_b,mean,var,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq,ens_gene,ext_gene
C02E7.1,321,9.040778394992539e-14,5.9548030406644e-12,4.80699443697023,0.6448697217554611,2.4957023627715698,4.2140181906450405,0.135861921367677,0.487923515687771,0.31652247818107204,0.487923515687771,WBGene00015338,catp-2
F54E2.3i,2510,0.00020913927932634198,0.0017621952737554398,4.837719701034071,1.3047718020560901,4.77919876344746,6.551663526082571,1.6536576465583601,0.899986536602703,0.0598674392830159,0.899986536602703,WBGene00004130,ketn-1
F11D5.3a,2155,7.053764092438559e-05,0.000692054451073914,4.856166643009019,1.22184159954698,2.12144455796269,4.677421095166941,1.8111646280930802,-0.45462872581635205,0.42818071348218895,0.42818071348218895,WBGene00017381,ddr-2
W06H8.8d,1063,1.7741087534067898e-07,3.52869062777796e-06,4.90878275894003,0.940096776233186,1.714464101419,7.202478135841191,0.7295674259058971,0.47238675064350205,0.596105497120146,0.596105497120146,WBGene00006436,ttn-1
Y71F9AM.8,344,2.3107967962830603e-13,1.42026676348293e-11,4.92018681333221,0.671289008298061,3.0426089980588995,5.98253577687973,0.204214704253534,0.471728694739157,0.20502060144402198,0.471728694739157,WBGene00045398,Y71F9AM.8
ZK783.1e,4456,0.00628440544495082,0.0298184884027368,4.93030998910162,1.80428184067782,2.8223976435817404,8.61785445898808,1.4795416996582902,3.4036077412413297,0.24394872379085297,3.4036077412413297,WBGene00022816,fbn-1
F07A11.6a,5001,0.0106811801632372,0.0451574069568736,4.940153675870049,1.9350690670226598,3.56703501746468,10.1930681853323,1.55392695765311,4.06281148356883,0.13705631727604,4.06281148356883,WBGene00008549,din-1
Y39G10AR.18c.1,4714,0.00811081764501953,0.0363782387502435,5.00086046475552,1.8889551106331,4.14103169002988,9.15321873810589,0.89310952862892,4.45911758635146,0.0916784554734942,4.45911758635146,WBGene00021474,dot-1.1
T26H5.10,210,4.37690168072661e-17,4.40670629693346e-15,5.0252136497214,0.5980735286478029,2.10902697405449,4.94319564117791,0.104020361117703,0.0730313551718904,0.432517557386149,0.432517557386149,WBGene00044783,T26H5.10
C45B11.6,126,3.2978872401400897e-21,5.533907136371579e-19,5.0381328120978095,0.532976090559965,2.26116509963729,3.85055072872983,0.0437475702559055,0.0865273482868521,0.38234769940697105,0.38234769940697105,WBGene00045379,C45B11.6
F45E10.1b,3549,0.0018339780724474398,0.0109258378094551,5.04664375175976,1.61965356482352,1.98107982235035,6.6831694052596795,2.33309901742127,1.6018174876470102,0.47989329771902295,1.6018174876470102,WBGene00006788,unc-53
F11C1.6b.1,2192,8.165155818046609e-05,0.000787572488416786,5.06284248651449,1.28514845048129,2.26236681795931,3.78074813571411,2.09543361041808,-1.97161547186324,0.381976199243597,0.381976199243597,WBGene00003623,nhr-25
B0238.12,20,5.72591330306487e-43,6.05314924833503e-40,5.21316693558249,0.37937332289086295,4.78139708187568,5.58052660287311,0.0816010843923976,0.134285092789485,0.0597860270250638,0.134285092789485,WBGene00015076,B0238.12
F21H7.2.2,255,1.99864944097285e-15,1.6571547109995599e-13,5.3366872723577305,0.672005908014895,1.8451225984676,5.877859327073231,0.14138593564913002,0.23148171204339602,0.536001974961255,0.536001974961255,WBGene00009028,F21H7.2
B0041.2c.1,5841,0.021212009608152997,0.0767823179498681,5.47145712533479,2.3745690959712697,4.12033862835079,12.764629732683499,0.9394552820691792,7.5184123052435305,0.0929934835469524,7.5184123052435305,WBGene00015007,ain-2
T05G5.8b.1,1554,4.6082673227704496e-06,6.26681059453952e-05,5.48191683165278,1.19643543084222,2.4260332171949197,6.436118697603621,1.81245002994636,0.12049141390300099,0.334736580315561,0.334736580315561,WBGene00011502,vps-53
C54D10.14a,1324,1.38082982199577e-06,2.20505173160548e-05,5.538242530201369,1.1471680122955101,2.3430099856763302,7.483243524196019,1.6161071710138,-0.254928670780031,0.357884501637241,0.357884501637241,WBGene00138721,C54D10.14
F20E11.17,527,7.59431032461002e-11,3.04680271713908e-09,5.58805908151355,0.8585886112738108,3.01184926695954,8.872051742982961,0.119814687853958,0.985946917259678,0.21004394115420102,0.985946917259678,WBGene00050906,F20E11.17
ZC410.4b,1489,3.20183889452904e-06,4.54674372449099e-05,5.7590917414888,1.23653900336783,2.13434201236243,6.727965023080519,1.86981976452277,-0.427776033560002,0.423723295752077,0.423723295752077,WBGene00006663,twk-8
