Accession,Unigene,Gene,Ratio,ttest
AI722566,406821,adipor1b,2.187112,1.16E-10
NM_001025506,560140,adipor2,2.59078,1.58E-11
NM_131876,140619,admp,0.973419,2.57E-04
AY048971,266750,adra2a,0.957416,1.35E-05
AY048969,266752,adra2c,1.023437,7.31E-06
NM_213425,406734,agpat3,1.454069,2.03E-07
NM_212992,406265,agpat4,1.353698,8.69E-04
NM_001012481,335616,agr2,5.467811,1.51E-07
AY049731,322485,agt,1.007188,8.38E-04
NM_213162,79378,agxt,1.342615,3.67E-07
NM_001033750,619269,agxt2,0.842592,1.56E-03
NM_201293,798918,ahcyl1,1.636176,1.42E-06
BM025875,559276,ahnak,2.376621,2.17E-09
NM_131264,30517,ahr2,1.040587,1.46E-04
NM_201287,64608,alas1,0.934114,9.22E-05
NM_212634,323919,alcamb,1.72663,2.89E-07
AF254955,282559,aldh3d1,2.700842,3.05E-08
NM_212724,334197,aldh7a1,1.539438,4.69E-05
NM_194377,336425,aldoaa,0.820714,9.71E-06
BM071225,406496,aldoab,1.755907,1.49E-07
NM_194367,321664,aldob,1.411452,1.85E-09
NM_001029952,792692,aldocl,1.000344,6.28E-05
NM_001104936,403068,alg2,0.650444,2.96E-03
NM_001005390,317736,alkbh6,1.0649,5.25E-04
AI558352,322732,alox12,2.023122,8.91E-07
AW232709,541539,alpi,2.675376,2.65E-07
AI584257,559835,alpk2,1.06161,3.72E-03
EH461056,557237,als2cr4a,2.13701,5.15E-08
AI477606,394093,ambpl,1.03167,1.11E-03
NM_001161601,792097,amd1,1.772478,1.15E-05
BI891850,558920,amotl2,2.376787,6.72E-10
NM_200831,393804,amph,0.640179,3.99E-04
AI667550,503514,angptl2,0.966189,4.37E-04
NM_131818,114421,angptl3,1.474354,3.47E-06
BQ169332,561927,angptl6,1.305296,6.64E-07
BE202096,450053,angptl7,1.872233,1.43E-06
AA495477,449796,ank1,0.910527,3.05E-02
NM_001006063,450043,ank2,0.913833,6.31E-07
BG304817,563327,ankhd1,0.901961,4.51E-06
NM_200150,393119,ankrd12,0.660133,5.42E-03
EH598044,557568,ankrd33,1.066048,1.31E-03
NM_181765,368215,anxa11a,0.953328,2.09E-03
NM_181766,353365,anxa11b,1.043345,2.32E-04
NM_181758,334724,anxa1a,5.608923,9.59E-12
NM_181759,353358,anxa1b,5.679908,3.54E-11
AY178795,494158,anxa1c,4.824327,1.99E-07
NM_181761,325557,anxa2a,3.82366,3.44E-10
NM_181764,353362,anxa4,1.101294,3.40E-04
Y16043,337132,anxa5b,2.027773,2.03E-06
NM_199682,324466,ap1g1,2.07804,2.48E-05
NM_205714,403021,ap1m2,3.586379,2.83E-07
NM_001002539,436812,ap3s2,0.674761,3.52E-04
NM_001143840,386762,apc,1.564139,6.74E-07
NM_198869,321028,apeh,0.931134,4.06E-05
NM_200115,386808,aph1b,0.706613,7.15E-04
NM_199540,321676,api5,0.794423,2.81E-04
BI672476,796801,aplp2,1.412987,3.69E-04
NM_131128,30355,apoa1,0.982739,1.98E-07
AI558478,566465,apob,0.964985,2.26E-05
AJ236882,30314,apoeb,1.970991,1.22E-06
AF257742,58083,appa,0.620736,2.33E-03
NM_213468,406777,aqp3,1.615599,1.27E-04
NM_201993,399661,arcn1l,2.793054,2.23E-11
NM_199275,378724,arf5,0.837754,5.57E-04
NM_213368,100003895,arfip1,1.6104,2.57E-09
NM_199611,322614,arg2,3.565385,1.46E-07
NM_213216,406834,arglu1a,1.206135,4.49E-08
NM_001045250,692277,arhgap10,0.813308,1.24E-03
NM_001126407,563267,arhgap12a,3.667927,3.70E-10
BI671403,564805,arhgap29a,0.943458,4.22E-04
NM_200111,378998,arhgap29b,1.420733,9.39E-06
CT710628,795752,arhgap5,0.873505,8.36E-05
NM_213461,406770,arhgdia,1.114348,1.77E-03
BG892200,394132,arhgdig,2.077622,2.02E-08
AW171300,334278,arhgef10,0.834964,8.73E-05
NM_214818,407987,arhgef18,1.925774,2.97E-07
AI721499,553493,arhgef7a,1.11543,3.63E-05
NM_001161663,560923,arhgef9,0.911779,3.67E-05
NM_199693,324689,arl11,3.793356,4.66E-12
NM_001002517,436790,arl6ip5b,0.75558,1.40E-05
BC052221,562445,arl8bb,1.458778,2.73E-05
AB087257,352935,arntl1b,0.723175,9.84E-05
NM_131578,58099,arntl2,1.71509,1.41E-05
AW232279,335474,arpc1b,0.726939,6.84E-04
NM_205537,114456,arpc4,0.839156,7.11E-06
NM_001003762,445305,arpc4l,0.59377,3.01E-04
NM_194378,336504,arpc5a,0.71006,3.34E-03
NM_201509,399482,arpc5b,0.820617,1.02E-02
AW115903,100006005,arrdc1a,5.90448,1.39E-11
NM_001080029,566685,arrdc3,1.037052,1.26E-05
NM_131384,30657,arx,1.836568,1.91E-09
AI815343,560581,asap2b,1.139655,5.90E-06
U14587,30466,ascl1a,1.392494,1.20E-05
AW170934,563799,ash1l,1.286243,3.15E-05
NM_201163,394138,asns,1.277082,1.57E-05
AI957575,323659,asph,1.582851,3.85E-06
NM_200964,393939,atf3,1.474016,7.99E-05
NM_001103192,556410,atf4b2,0.793951,3.99E-04
XM_001337882,797457,atg7,2.330476,4.28E-06
NM_001006016,449995,atl3,1.81276,3.94E-06
AF024536,30303,atoh1a,1.182175,1.12E-07
NM_131816,114414,atoh2a,2.989491,1.99E-07
NM_131817,114415,atoh2b,1.565452,5.97E-06
AI558492,368385,atp11c,0.799474,3.29E-04
NM_131687,64613,atp1a1a.2,7.558363,4.90E-09
AF308598,64614,atp1a1a.3,5.439952,1.67E-13
NM_131689,64615,atp1a1a.4,2.007918,1.05E-04
AF286373,64609,atp1a2a,0.771229,6.86E-03
NM_131684,64610,atp1a3a,1.849239,6.61E-07
NM_131668,64267,atp1b1a,1.183327,8.10E-07
AF308597,64273,atp1b1b,6.018398,4.94E-10
NM_131838,114457,atp1b2b,0.873036,3.84E-05
NM_001007029,260440,atp2a1,1.209905,4.77E-03
NM_001077533,494489,atp2a1l,1.056539,1.44E-04
NM_200965,393940,atp2a2a,2.171296,4.52E-07
NM_001044757,378746,atp2b1a,1.97069,2.33E-06
NM_001128242,558525,atp2b3b,2.173825,1.15E-06
NM_001077467,768304,atp2b4,1.414826,1.42E-05
NM_001077355,553755,atp5a1,0.863202,1.52E-02
NM_199757,326977,atp5l,0.723696,5.65E-04
NM_001003843,335191,atp5o,0.610919,8.30E-05
NM_200218,393187,atp5s,0.893567,7.46E-05
NM_212672,324307,atp6v0a1a,1.338324,3.20E-04
NM_199620,322811,atp6v0d1,0.857563,3.80E-06
NM_207101,404633,b3galt2,0.66569,2.02E-04
NM_131031,57934,bactin1,1.367431,8.15E-04
BI867065,58100,bad,1.130819,1.37E-05
NM_198922,387261,baiap2l1a,3.523641,4.62E-10
NM_131784,83496,bambia,0.954732,2.94E-03
NM_001013296,503609,baxb,0.907507,1.68E-07
BC090480,571727,baz1b,0.718321,4.46E-05
NM_001006099,450079,baz2a,0.908863,2.67E-04
NM_213517,798901,bc2,2.752469,2.28E-08
NM_131799,84041,bcdo2l,2.147036,2.00E-06
NM_001044891,559355,bcl2l13,1.082968,1.49E-07
BI879163,393707,bcl6,2.188924,7.79E-10
BE017365,678554,bco2a,3.184582,4.94E-10
NM_201182,394157,bcs1l,0.624689,2.21E-03
U42489,58118,bdnf,2.563285,9.84E-08
AF047412,30489,bfb,1.211837,1.15E-08
NM_212679,324413,bhlhe40,0.855925,3.80E-03
BE606170,564030,bik,4.995126,7.16E-09
AI497407,492780,bin2a,1.324958,6.20E-06
AW115956,327387,bin2b,1.856239,3.87E-08
AF388205,405764,blnk,1.699573,1.81E-04
NM_131359,30631,bmp2a,0.871136,1.10E-03
NM_131342,30612,bmp4,0.896744,1.13E-05
NM_001044971,561963,bmp8,1.886774,1.03E-06
BG985514,777627,bop1,0.622782,1.61E-03
XM_704349,30445,brd2,0.647448,1.01E-02
AF032395,30445,brd2a,1.931552,1.59E-04
NM_001110524,569354,brd2b,0.635583,3.64E-04
NM_212702,327108,brd3b,0.736627,3.72E-06
NM_212777,337414,brd8,0.737056,6.39E-04
NM_201016,393991,brpf1,1.422697,1.09E-05
NM_198142,337692,bsg,0.631173,2.66E-03
NM_001159406,565357,btaf1,0.865998,2.76E-05
NM_200020,114432,btg1,1.413516,2.07E-06
AB036784,30079,btg2,0.85945,1.07E-03
NM_001077158,562439,btr02,3.74288,4.77E-10
NM_200422,393394,btr30,5.841807,1.60E-08
NM_200918,393892,bzw2,1.613187,3.84E-06
NM_001042735,559339,c11orf2,0.694422,7.44E-03
NM_001003880,445403,c13orf22l,0.852679,1.09E-04
NM_200051,337131,c1galt1b,0.715666,5.24E-05
AI878304,325198,c1galt1c1,1.326417,2.34E-06
NM_131243,30491,c3b,0.625038,1.69E-02
NM_200638,393611,c6,2.140306,1.11E-05
NM_213642,336650,c6orf115,1.425172,1.70E-06
NM_200863,393837,c8g,0.635227,4.46E-03
NM_199215,792230,ca2,2.304558,5.75E-07
NM_001111201,569989,ca5,1.04788,4.92E-05
NM_200813,564201,ca7,0.621016,3.85E-03
AW171091,406822,cab39l1,1.388868,1.26E-08
NM_131900,170581,cacna1c,0.643864,9.69E-04
AI721634,266992,cad,0.69401,3.22E-04
NM_200664,793954,cadm2a,0.703104,1.01E-02
NM_001020741,553776,calcoco2,0.796782,1.28E-05
NM_213351,406660,calm1a,0.755056,1.05E-04
BI670912,368217,calm1b,1.523655,4.07E-06
AW420994,337642,camk2b1,1.228278,2.39E-05
AI793833,445208,camk2d1,4.172456,4.66E-12
NM_001030125,791855,camk2g1,1.116111,7.80E-05
NM_001145089,553607,camk2n1,0.652731,2.18E-02
BC095146,553431,camkvl,1.070485,1.69E-06
NM_214743,406558,cant1a,1.37681,7.49E-07
NM_199909,334527,cap1,1.014853,1.80E-04
AW232559,336597,capg,2.277969,3.65E-08
NM_001013501,541374,capn2a,1.824138,1.22E-06
AI396726,550505,capn2l,6.139342,1.12E-11
XM_679692,556792,capn7,0.731128,2.83E-03
AW233616,337730,capn8,4.343394,3.03E-11
NM_001003501,445107,capn9,4.967915,7.48E-11
NM_001017899,550598,capns1a,1.026704,1.95E-05
NM_001109706,560033,capns1b,1.358729,9.03E-06
BM181708,407729,caprin2,1.492276,3.10E-06
NM_199935,335083,capzb,0.634451,7.36E-04
NM_200562,393534,carhsp1,0.888322,3.93E-05
BM860685,403025,casc3,0.848545,4.14E-04
DY547869,555654,casc4,1.286082,8.58E-06
NM_001045242,692268,casd1,1.182719,1.21E-05
NM_131877,140621,casp3a,0.710322,3.18E-04
NM_131505,57933,caspa,1.661608,1.15E-07
AF327410,259303,caspb,5.096677,1.70E-12
AW154724,563084,cast,3.72852,3.80E-10
BE201085,559053,casz1,1.573695,1.67E-06
AW595386,323695,cav1,3.284177,2.98E-11
AI878254,415240,cav2,3.517556,5.25E-12
NM_001014345,266987,cbs,0.591784,3.33E-04
NM_001014345,266987,cbsb,1.046871,1.21E-02
BC059636,567497,cbx3b,0.766981,3.16E-04
NM_001080184,563396,cbx5,1.061412,3.13E-08
NM_213359,791592,ccbl1,0.630277,2.73E-03
NM_001006061,450041,ccdc113,0.995176,1.52E-04
NM_200173,393142,ccdc53,0.795714,9.77E-05
NM_199985,335905,ccdc6a,1.728525,1.65E-10
AL590146,368419,ccdc80,0.798563,2.66E-03
NM_212818,404206,ccna1,0.955444,3.88E-05
NM_213172,266794,ccng2,1.559708,5.44E-08
NM_199740,326088,ccnl1,0.601748,1.43E-04
AW116346,192326,cct2,1.645655,6.71E-08
NM_001008583,494040,cd2apl,1.936676,3.64E-07
NM_001079980,559896,cd99,2.914759,1.02E-10
NM_213428,406737,cd9b,5.716263,8.14E-12
NM_201149,394124,cdc14aa,0.945555,2.39E-04
NM_201449,30450,cdc27,0.966653,8.38E-06
NM_200958,393933,cdc34a,0.921776,6.92E-05
NM_199865,793158,cdc42l,1.175127,3.07E-06
NM_131820,114424,cdh1,1.000012,6.22E-06
NM_131081,30291,cdh2,0.743159,2.63E-02
AF124396,30297,cdh4,1.171766,9.65E-05
AI965222,445471,cdh5,1.337354,8.88E-11
AW116982,559027,cdk13,1.729231,1.16E-06
NM_131719,65234,cdk5,0.683858,1.16E-07
BE704450,114465,ceacam1,5.067467,2.35E-11
AF160683,140815,cebpa,2.403504,7.65E-10
NM_131884,140814,cebpb,1.585618,4.22E-06
NM_199607,322481,cel.1,0.643064,7.35E-05
AF003943,565117,cel.2,1.147206,8.20E-04
AI722650,368436,celsr1a,1.375791,5.17E-06
BC124356,558570,cenpi,0.644153,3.36E-02
NM_001020532,553553,cfdl,0.765076,4.24E-03
NM_205687,402987,cga,0.669386,4.25E-04
BC091962,553350,cgnl1,1.504435,3.91E-06
BE605391,494109,ch25h,2.117711,1.71E-09
NM_001017865,336673,ch25hl1.1,5.062918,4.82E-10
NM_001110126,563855,chac1,1.389074,9.19E-06
AW116132,394038,chad,0.732053,3.74E-03
NM_200784,393757,chchd10,1.588868,2.03E-05
NM_214804,407730,chchd3,0.864764,6.16E-06
NM_200313,393283,chd1l,0.974402,1.15E-05
CK694063,569795,chd2,1.519857,7.94E-05
NM_200193,393162,chek1,1.421611,2.07E-06
NM_200014,336426,chmp1b,1.407054,1.22E-07
NM_212904,405840,chmp2bl,1.291136,4.04E-06
NM_213457,406766,chmp4b,1.112942,3.67E-07
NM_001017844,550542,chmp4c,4.28252,6.59E-10
NM_200380,393351,chmp5,0.912441,4.05E-06
AA497144,404273,chrnd,0.75407,1.02E-02
NM_001003772,445315,chrne,1.047924,3.56E-05
NM_212829,404732,chst14,1.003563,2.72E-03
AI722956,324407,chys1,0.977916,1.05E-03
AI584937,323246,cic,0.866925,2.37E-04
AW826769,767678,cish,2.028108,6.25E-06
NM_131108,30328,cki,4.373719,9.59E-07
NM_200697,799492,ckmt2,1.361896,1.49E-08
NM_001077537,553351,clcn7,0.678141,1.97E-03
NM_131770,81590,cldn19,5.386099,1.13E-10
NM_131637,60635,cldn7b,5.629059,9.43E-12
AA497147,334726,cldn8,5.088271,3.94E-07
AF359423,81580,cldna,1.254171,4.43E-04
AF359426,81581,cldnb,4.985026,6.67E-12
NM_131764,81582,cldnc,3.854842,8.36E-08
AJ011789,81583,cldnd,1.132174,4.74E-04
AF359425,81584,cldne,5.461968,1.88E-09
NM_131766,81585,cldnf,6.23083,3.14E-10
NM_180965,81586,cldng,0.635599,2.77E-02
AF359434,81587,cldnh,6.784051,1.31E-08
NM_131768,569084,cldni,5.790789,5.25E-12
AF359430,81589,cldnj,5.043149,4.66E-12
NM_001003464,445070,cldnk,5.345168,5.24E-14
AI721648,324481,clic1,0.788818,1.24E-04
NM_212897,405833,clic5,0.760121,2.50E-04
NM_199524,84040,clica,2.497235,2.55E-07
NM_001003412,323870,clint1,0.958275,3.23E-06
AB087256,352927,clock3,0.964623,7.82E-05
NM_001005391,323579,cltca,0.709983,3.93E-05
BC090296,503600,cltcb,1.68957,1.81E-09
AW077466,393775,clu,1.159468,3.65E-04
NM_213008,406281,cluap1,0.587118,1.07E-05
AW232237,561018,cmas,0.797436,5.92E-04
AF119163,64671,cmlc1,2.390186,6.52E-08
NM_131014,30208,cmn,1.807604,6.20E-06
NM_131266,30519,cmyb,2.3486,2.92E-07
AI722207,327288,cndp2,1.100302,3.63E-06
U42393,503867,cnga2,0.915775,1.18E-04
NM_001033106,406282,cnih,1.1985,4.38E-07
NM_001077532,449918,cnot10,0.800508,6.92E-05
NM_001005582,449540,cnot3a,1.086023,4.01E-06
NM_199840,327627,cnot3b,0.783282,6.88E-05
AB055671,402819,cnpy1,1.629496,2.89E-07
AY138255,353150,cntn1a,1.722752,2.08E-06
NM_001014814,541474,cntn1b,1.098366,4.84E-04
NM_001020786,393137,cobra1,0.746418,3.95E-03
NM_001083844,565402,col11a1,1.095389,4.89E-06
AF192763,561679,col11a2,1.024089,3.73E-06
BC067716,321298,col14a1,1.963775,1.92E-07
BE200663,568794,col17a1,3.391542,5.77E-09
NM_001039630,564123,col18a1,1.908726,2.41E-07
U23822,562496,col2a1a,2.401564,3.87E-08
BC059180,503730,col2a1b,1.027687,3.39E-07
XM_682719,553355,col4a2,1.380082,1.44E-07
NM_001017914,550627,col4a3bp,2.556734,5.71E-09
NM_213264,406548,col9a1,2.04357,1.48E-07
AI958567,321212,col9a2,2.17709,1.08E-08
AI558339,562189,comp,0.903453,4.08E-05
NM_001001941,260439,copa,0.66455,6.73E-04
NM_201461,280650,copeb,1.006973,1.58E-04
NM_199685,335720,cops3,0.597372,1.11E-02
AB040045,57969,copz2,0.97704,1.82E-05
NM_001017747,550442,coq10b,0.844866,2.22E-04
NM_201295,317741,coro1ca,1.326158,1.12E-05
NM_199643,323538,coro2a,4.146351,1.25E-08
U93461,30775,couptf4,1.657907,2.09E-05
NM_001004652,447914,cox17,1.38627,1.17E-07
NM_001024403,554101,cox5aa,0.810352,4.01E-05
BC059554,326962,cox5ab,0.70864,2.44E-03
NM_200981,393956,cpeb4,3.196159,1.18E-09
NM_199699,324841,cpne1,0.68145,1.08E-02
NM_001007413,492772,cpped1,0.653312,3.28E-03
NM_001020621,553648,cpsf3l,0.969914,7.65E-05
BI475933,449677,cpt1b,2.75022,4.79E-08
NM_001007447,100005717,cpt2,0.707244,2.76E-04
NM_182858,171479,crabp1a,1.100768,8.03E-05
NM_213532,406853,creb3l3l,0.729753,1.33E-03
NM_001089455,566841,crebbpa,0.925771,1.03E-05
NM_212821,404210,crim1,1.075383,2.47E-06
AF151352,57932,cripto,1.854475,1.46E-06
NM_152940,81881,crx,2.772769,1.03E-10
NM_131790,554836,cry1b,0.831069,7.88E-06
AI626489,100000769,cryaa,0.627782,2.81E-03
NM_001007783,493628,crygm2c,0.657276,2.75E-04
NM_001103134,798701,crygm2d16,0.635652,1.07E-02
NM_001012262,497123,crygs2,0.769614,4.26E-04
NM_001045341,751596,cryl1,0.901752,7.10E-04
NM_199598,322339,cs,0.857293,2.19E-04
NM_001007348,492476,csad,1.062951,5.96E-06
AW232422,192307,csnk1a1,1.712858,9.40E-08
NM_001045850,561724,csnk1g2b,1.736608,5.65E-05
NM_205567,378726,csrp1a,1.128164,3.36E-07
NM_200897,393871,csrp2,0.677154,7.85E-03
NM_001006026,450005,csrp3,1.646814,3.26E-07
NM_130939,30114,cth1,0.615781,1.70E-02
AL590147,368485,ctnnd2,1.385122,1.78E-05
NM_001004582,447843,ctrl,2.179696,5.94E-09
Y08321,30443,ctsl1b,2.316802,1.02E-06
NM_001004121,445561,cttn,0.644011,8.65E-06
AW171623,406816,cul1b,0.680103,1.88E-03
NM_212706,327215,cul5,0.805744,3.06E-03
NM_001017685,550380,cx35.4,3.473638,5.65E-08
AY057095,140747,cxcr4a,1.799785,6.06E-09
BI889254,560908,cxcr7b,0.621692,4.19E-02
AW422303,360150,cxxc1,0.626556,3.38E-05
NM_200599,393571,cxxc1l,0.913168,6.41E-04
NM_212685,324560,cyb5r3,0.730477,4.62E-06
NM_001080204,791124,cyp11b2,2.07293,1.82E-08
NM_212806,399692,cyp17a1,1.496596,1.54E-06
NM_131642,60640,cyp19a1b,0.727143,3.74E-04
AW342687,140634,cyp1a,2.943009,4.39E-09
AF221128,562304,cyp2k19,0.712615,1.20E-04
AF283813,393481,cyp2k6,0.71509,1.85E-03
AB026158,414933,cyp2v1,0.808704,7.20E-06
NM_001037438,553969,cyp3a65,1.01354,1.64E-04
AI722355,324340,cyp3c1,0.766868,4.66E-03
NM_001001730,414331,cyp51,1.800973,1.91E-06
NM_131107,30327,cyt1,4.83378,3.74E-08
NM_214682,321938,cyth1,0.765721,4.86E-05
EH590052,557451,daam1a,0.974398,1.78E-04
NM_205757,404040,dab2,0.766636,2.41E-05
NM_001122857,558237,dab2ip,0.899106,8.47E-04
NM_173274,286829,dag1,0.688695,3.02E-04
AI721919,562194,dapk3,0.648173,3.95E-03
BI672372,571144,dars2,0.589638,1.02E-02
NM_001077549,558997,dclk1,0.908509,1.08E-06
NM_205588,402850,dcps,1.216413,5.25E-06
AI721633,114455,ddah1,0.655032,1.21E-03
NM_198375,386644,ddi2,0.808416,1.44E-04
NM_201045,394020,ddx41,1.189885,3.72E-06
NM_212612,322206,ddx5,2.114909,1.15E-09
NM_173229,286745,ddx55,0.911349,1.65E-06
NM_131602,58125,dedd1,0.682605,1.49E-02
NM_001163366,402799,degs2,5.307023,1.29E-11
NM_001002697,436970,denr,0.695903,3.64E-06
NM_198872,100003959,depdc1a,0.62379,2.80E-03
U47113,30148,desma,0.82965,2.63E-02
NM_001002656,436929,dgcr2,1.425413,1.26E-05
NM_214735,406433,dhdhl,0.734075,1.01E-03
NM_213056,406329,dhps,0.684465,7.97E-04
NM_001017758,550454,dhrs7b,1.441545,2.56E-04
NM_001008619,494076,dhtkd1,0.997301,1.04E-03
NM_200024,336645,dhx16,1.357824,3.36E-06
XM_691207,100009635,dhx37,1.029553,1.47E-06
NM_001161453,324724,dicer1,0.959775,6.81E-03
NM_001079955,553277,dido1,1.144362,3.06E-03
NM_212963,405899,dip2b,0.607761,3.58E-03
NM_001004597,447858,dirc2,0.5929,1.74E-03
AB023488,30197,dkk1,3.320129,2.72E-11
NM_212667,324201,dlat,0.710504,1.64E-03
AW281816,324201,dlat,0.82587,4.41E-06
NM_199526,114446,dlg1,1.272874,6.20E-06
NM_001098742,564081,dlg3,0.71951,3.90E-06
AI353741,569065,dlg5,1.720173,1.51E-06
U67842,30568,dlx1a,2.239818,7.48E-10
U03875,30574,dlx2a,1.763278,7.49E-10
NM_131297,30557,dlx2b,3.503408,4.39E-11
AW059102,30585,dlx3b,3.12964,4.34E-11
NM_131300,30561,dlx4a,4.49532,9.26E-10
U67845,30581,dlx4b,3.873486,1.05E-10
NM_131306,30569,dlx5a,4.52757,3.41E-12
NM_152977,142987,dmbx1a,1.575783,5.61E-06
AF272965,286780,dmrt3b,0.948894,1.58E-06
AF272962,286781,dmrta2a,0.901131,7.20E-07
CF269324,373115,dnaja,1.387581,2.69E-04
NM_201342,394242,dnaja3b,0.982475,1.58E-04
NM_001017606,572669,dnajb13,0.732643,4.87E-03
NM_199773,327244,dnajb1b,0.80993,2.21E-02
NM_200305,393275,dnajb6b,2.495486,3.35E-07
NM_200452,393424,dnajc24,0.774223,1.25E-02
AW019064,792196,dnase1l3,1.234522,1.40E-03
NM_131189,30430,dnmt1,0.870467,3.50E-04
NM_001025450,317744,dnmt4,0.619193,5.57E-03
NM_001020479,323723,dnmt5,0.718121,1.17E-02
NM_001020476,321084,dnmt7,0.994333,2.60E-05
NM_200153,393122,dnpep,1.844437,5.68E-04
NM_001082861,568817,dock7,1.058812,6.54E-07
CK690849,403040,dock8,1.585375,3.50E-06
AI722924,393582,dopey2,1.37165,5.66E-06
NM_001007152,474324,dpf2,0.8722,1.12E-05
NM_001111169,562738,dpf3,0.897529,2.24E-03
NM_001002683,322527,dpp3,1.419352,5.12E-07
BC167476,560091,dsc2l,1.329609,2.34E-06
BC090682,324023,dspa,2.19901,4.53E-10
AI546038,322942,dspb,2.808169,2.40E-08
NM_001007309,492343,dullard,3.392054,2.30E-07
NM_001003451,445057,dusp2,1.118204,7.08E-06
AI601685,114436,dusp5,2.026985,6.09E-09
NM_199774,327246,dusp7,0.922417,1.91E-05
NM_001042745,335110,dync1h1,0.60271,4.33E-03
NM_001102428,556103,dync1li1,0.650294,4.31E-04
NM_001080689,100005019,dyrk1aa,1.06964,5.34E-06
NM_205688,402988,dyx1c1,0.727219,4.89E-04
NM_213432,406741,e2f4,0.842211,5.41E-07
NM_201189,394164,edem1,0.822098,8.40E-05
AF281858,58032,edn1,2.281721,3.87E-08
NM_001017766,550463,eed,0.819893,1.69E-02
AI657624,437013,eef2k,1.09526,1.14E-05
NM_131159,30396,ef1,2.190064,4.69E-09
NM_200967,393942,efhc1,0.845763,1.03E-04
Y09668,30218,efna2,1.100856,1.83E-03
NM_131854,117506,efna3b,0.833587,4.96E-04
Y09669,30223,efna5b,5.100435,1.70E-12
NM_131805,114377,efnb1,0.854358,9.71E-04
NM_131023,30219,efnb2a,0.959794,5.35E-07
NM_131806,114378,efnb3,0.983911,1.61E-03
XM_684761,561353,efr3bb,1.187744,1.21E-06
NM_200508,393480,eftud2,0.911661,2.62E-03
AI878761,436730,egfl6,3.7815,1.03E-09
NM_194424,378478,egfra,0.94211,4.73E-04
AY070229,368241,egr2a,2.378719,1.09E-09
NM_001004578,447839,ehd1,0.661088,2.14E-04
NM_200063,337401,ehd2,1.043522,7.31E-07
NM_001030131,100005761,ehmt1a,0.910066,3.64E-04
NM_199588,322237,eif1b,0.800143,4.72E-03
NM_212903,405839,eif2b2,0.774913,2.24E-02
NM_213463,334234,eif3c,0.915663,8.14E-05
NM_200016,336498,eif3d,0.956329,5.53E-06
NM_001024735,334626,eif3m,0.750441,1.08E-04
NM_201078,394053,eif4a3,0.863199,1.19E-04
AF176316,30738,eif4e1b,0.725247,1.34E-04
NM_001014289,323453,eif4g2a,1.805881,4.46E-05
NM_199591,322256,eif5,0.92563,2.86E-03
AF369382,30313,ek3,0.673782,1.71E-03
NM_212835,334304,ela2l,0.928452,6.94E-03
AI385059,560869,elf3,6.548674,2.20E-11
NM_199707,325221,ell,1.377163,5.73E-04
AW232871,406725,elovl1b,0.783095,1.27E-05
NM_199972,335732,elovl4b,1.611949,1.21E-06
NM_200453,393425,elovl5,0.76802,4.43E-05
NM_201500,798903,elovl6l,1.165118,1.56E-04
NM_199875,334217,elovl7a,4.465011,9.52E-11
