Accession,Unigene,Gene,Ratio,ttest
NM_001024419,554124,bckdha,0.960097,3.81E-06
NM_001044891,559355,bcl2l13,0.880859,1.64E-03
BI879163,393707,bcl6,2.22521,1.08E-04
NM_001100074,100001936,bcl6ab,1.132274,1.31E-03
BE017365,678554,bco2a,3.44307,6.45E-07
NM_131595,58118,bdnf,1.607857,5.16E-06
AF047412,30489,bfb,1.638066,7.81E-07
NM_001030133,559796,bhlhe23,1.197118,8.72E-04
BE606170,564030,bik,4.082831,6.52E-10
AW115956,327387,bin2b,1.948905,1.13E-05
NM_200018,336541,blmh,0.644025,3.13E-02
NM_131359,30631,bmp2a,1.20276,1.05E-04
AF056336,30612,bmp4,0.86855,1.25E-04
NM_001077146,557567,bmp7b,0.788743,8.39E-03
NM_001044971,561963,bmp8,2.085488,8.46E-06
NM_201185,394160,bokb,0.850625,2.96E-05
NM_001002354,436627,bpnt1,1.729731,3.41E-09
NM_131200,30445,brd2a,2.131169,6.43E-08
NM_212702,327108,brd3b,0.64076,5.24E-04
NM_001017777,550474,bre,0.783135,1.06E-03
NM_212592,321611,brp44,1.03475,2.01E-06
NM_201016,393991,brpf1,0.832226,2.61E-03
NM_001004108,794882,bsdc1,1.60878,9.95E-06
NM_001159406,565357,btaf1,1.32796,1.83E-05
NM_001110459,560466,btbd10a,0.813326,8.47E-06
BC110105,557247,btbd10b,0.621321,1.70E-03
NM_130922,30079,btg2,1.319132,4.21E-08
NM_001077158,562439,btr02,3.1465,2.20E-06
NM_001114443,571162,btr18,0.801667,1.64E-02
NM_200422,393394,btr30,5.186181,3.43E-10
NM_213092,406812,bzw1b,0.925642,1.05E-02
NM_200918,393892,bzw2,1.058627,6.59E-06
NM_001003880,445403,c13orf22l,1.060691,1.52E-02
NM_200051,337131,c1galt1b,1.572719,9.92E-06
AI878304,325198,c1galt1c1,0.827187,4.53E-03
NM_199928,334868,c2orf24,0.714136,1.02E-02
NM_200638,393611,c6,1.89197,5.86E-07
NM_213642,336650,c6orf115,1.929317,2.24E-04
NM_199215,792230,ca2,2.033536,6.05E-07
NM_001111201,569989,ca5,0.697661,2.40E-02
NM_001002145,415235,cab39,1.716254,2.54E-05
NM_214684,322013,cacng1,0.882985,1.19E-04
NM_001009884,266992,cad,0.631437,2.34E-05
NM_001020741,553776,calcoco2,0.76523,2.30E-04
NM_213351,406660,calm1a,0.915161,2.26E-03
NM_200082,368217,calm1b,0.692667,3.41E-03
NM_131047,30248,calr,1.322429,2.32E-06
AW420994,337642,camk2b1,0.984956,3.14E-02
AI793833,445208,camk2d1,3.42485,1.50E-05
NM_001030125,791855,camk2g1,0.747876,5.79E-03
NM_214743,406558,cant1a,1.912109,4.13E-07
NM_199909,334527,cap1,1.04621,4.55E-03
AW232559,336597,capg,1.946107,4.51E-09
NM_001013501,541374,capn2a,2.412538,2.41E-08
BC093295,550505,capn2l,5.659208,4.21E-10
AW233616,337730,capn8,3.426544,1.55E-09
NM_001003501,445107,capn9,4.754586,5.06E-08
NM_001017899,550598,capns1a,1.396692,3.60E-05
NM_001109706,560033,capns1b,2.281287,4.41E-08
BM181708,407729,caprin2,1.013546,6.64E-05
NM_212697,327029,capza1a,0.665807,5.48E-03
NM_199935,335083,capzb,1.147205,4.30E-04
NM_200562,393534,carhsp1,1.014452,7.06E-08
NM_205716,403025,casc3,0.864885,4.98E-04
NM_152941,259195,cask,0.585217,3.83E-04
AB047003,140621,casp3a,0.815339,1.52E-02
NM_131510,58022,casp8,1.446535,2.72E-04
BC091840,541521,casp8ap2,0.928969,1.54E-03
NM_131505,57933,caspa,2.131943,1.54E-07
NM_152884,259303,caspb,6.444262,2.40E-09
AW154724,563084,cast,2.040413,6.45E-07
BE201085,559053,casz1,0.859533,3.78E-02
AF170069,30068,cat,0.798682,2.74E-04
AW595386,323695,cav1,2.392817,4.36E-08
AI878254,415240,cav2,3.812645,2.44E-08
NM_205738,449679,cav3,1.498983,1.61E-08
AF278758,30744,cbfb,0.782976,2.83E-02
AF298898,337696,cbr1l,1.116455,2.18E-05
NM_001014345,266987,cbs,1.779514,6.57E-05
NM_001014345,266987,cbsb,1.296676,5.18E-06
NM_213253,406536,cbwd,0.843007,4.80E-03
BC059636,567497,cbx3b,0.940746,2.26E-02
NM_001080184,563396,cbx5,1.006309,1.05E-05
NM_200344,393315,ccbl2,1.137368,6.66E-03
NM_001076760,767793,ccdc37,0.849335,4.29E-04
NM_001004551,447812,ccdc47,0.907524,1.14E-03
NM_200173,393142,ccdc53,0.76966,1.53E-03
NM_199985,335905,ccdc6a,1.808868,1.54E-09
AL590146,368419,ccdc80,1.194084,8.42E-06
NM_001110833,393117,ccdc94,0.587369,6.80E-03
NM_131062,30268,ccl1,0.706595,1.58E-02
NM_212818,404206,ccna1,0.915716,9.80E-05
NM_213172,266794,ccng2,1.763851,5.32E-08
NM_199740,326088,ccnl1,1.179356,1.63E-07
AW116346,192326,cct2,2.216404,7.94E-09
NM_200583,393555,cct4,0.8615,2.35E-02
NM_205650,402948,cd151l,0.804508,3.64E-03
NM_001008583,494040,cd2apl,2.079833,2.05E-06
NM_199543,321461,cd63,1.051519,2.46E-05
NM_001079980,559896,cd99,3.766544,3.04E-08
NM_213428,406737,cd9b,4.796564,5.09E-10
NM_200958,393933,cdc34a,1.835825,2.20E-09
NM_199865,793158,cdc42l,0.90088,4.45E-05
NM_200060,791998,cdc42se1,1.188566,1.13E-02
AF124396,30297,cdh4,0.90956,1.39E-04
NM_207088,404620,cdipt,0.766364,8.98E-05
AW116982,559027,cdk13,1.014353,3.34E-04
NM_131719,65234,cdk5,0.965136,9.42E-07
NM_212591,321602,cdk9,0.929805,2.87E-04
BE704450,114465,ceacam1,4.630771,1.26E-06
NM_131885,140815,cebpa,1.793555,6.43E-10
NM_131884,140814,cebpb,2.771532,1.58E-05
NM_131887,140817,cebpd,2.437529,3.22E-09
NM_131886,140816,cebpg,0.689813,6.88E-04
AF003943,565117,cel.2,3.201306,7.54E-09
NM_131613,58137,celf1,0.973275,6.04E-04
AF321194,373117,celf2,0.629284,4.75E-03
AI722650,368436,celsr1a,2.053048,3.43E-08
NM_001077252,566132,ces2,0.612645,4.05E-03
NM_001020532,553553,cfdl,0.650001,5.19E-05
AF448261,373114,cflar,0.911389,1.05E-02
BC091962,553350,cgnl1,1.711139,8.08E-05
BE605391,494109,ch25h,2.909974,1.88E-11
NM_001017865,336673,ch25hl1.1,4.444213,3.18E-09
NM_001110126,563855,chac1,3.116116,2.68E-10
AW419844,557614,chac2,1.254951,2.19E-02
NM_200784,393757,chchd10,1.939997,2.91E-07
NM_214804,407730,chchd3,0.719872,1.80E-04
NM_200193,393162,chek1,0.986058,5.43E-06
AJ252198,555843,ches1,2.237708,9.25E-03
NM_001006059,450039,chga,0.796801,7.28E-03
NM_200014,336426,chmp1b,1.906864,7.42E-07
NM_212904,405840,chmp2bl,1.91266,3.93E-08
NM_213457,406766,chmp4b,1.351148,7.71E-05
NM_001017844,550542,chmp4c,2.617017,2.13E-11
NM_200380,393351,chmp5,1.748014,1.39E-08
NM_213000,406273,chn1,0.776241,2.04E-03
NM_212624,322605,chpt1,1.287816,4.00E-03
NM_131445,30725,chrna1,2.016464,1.58E-05
NM_001003772,445315,chrne,1.428951,3.64E-04
NM_001003779,445322,chst10,0.695825,1.45E-02
NM_212829,404732,chst14,0.772884,9.28E-05
NM_200317,393287,chuk,0.943196,1.61E-03
NM_001040321,678563,cirbp,0.888875,2.22E-03
AW826769,767678,cish,3.270307,1.22E-08
NM_001077163,564694,ckba,2.314749,8.20E-09
NM_131108,30328,cki,3.689542,2.33E-06
NM_130932,30095,ckma,1.092513,2.02E-05
NM_213121,794752,ckmb,1.528921,3.28E-07
NM_200697,799492,ckmt2,1.650389,6.18E-08
NM_001077537,553351,clcn7,0.65742,1.16E-03
AF359436,81590,cldn1,1.774408,2.56E-08
NM_131771,81591,cldn10l1a,0.704461,9.20E-04
NM_131770,81590,cldn19,4.972037,6.33E-11
NM_131637,60635,cldn7b,4.455597,8.61E-08
AA497147,334726,cldn8,5.274502,2.32E-08
AF359423,81580,cldna,0.897758,7.68E-03
AF359426,81581,cldnb,4.749428,1.37E-10
NM_131764,81582,cldnc,4.126269,2.58E-06
AF359425,81584,cldne,5.460799,4.19E-09
NM_131766,81585,cldnf,5.647791,7.20E-10
NM_180965,81586,cldng,2.021405,1.32E-06
AF359434,81587,cldnh,5.598158,2.59E-08
