,Unnamed: 0,target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq,ens_gene,ext_gene
48,49,ZK1320.9,6.776772546823661e-08,2.92410820321414e-05,0.6711042222799011,0.124347845370666,8.18779456251581,0.13677873042517902,0.000268978935924895,0.0113278110503204,0.007634260589117929,0.0113278110503204,WBGene00014258,ZK1320.9
1039,1040,ZK154.3,0.00348752182758245,0.0709652863131099,-1.34145871015846,0.45922425695629604,4.66734064239861,0.335949053073774,0.0110024313467939,0.14716275728600198,0.0642090858194565,0.14716275728600198,WBGene00003171,mec-7
61,62,ZK180.1,1.65655955888921e-07,5.64913528283782e-05,-1.87617076297922,0.35844117101283796,4.3743147627433805,0.315898155383937,0.015558304302833002,0.0808017505049577,0.0779654876428645,0.0808017505049577,WBGene00022675,gbb-2
665,666,ZK185.5,0.00108197400948637,0.0343486133371927,0.7729957893886469,0.236513445545085,5.52316424852955,0.22054430813177803,0.0045168253430492,0.0335854102375577,0.0374371320996569,0.0374371320996569,WBGene00044481,ZK185.5
952,953,ZK20.1,0.00272531218254365,0.060463038274418006,-1.53814128609647,0.513204105715921,3.384925519847,0.405481035215081,0.040562625741274005,0.134441953691309,0.156971214851485,0.156971214851485,WBGene00013923,ghi-1
513,514,ZK20.5.1,0.000488452305616518,0.0200921149759728,0.431136235754496,0.12364064985183,7.915832574003401,0.0193878952733008,0.00317709454401679,0.0028220716698824197,0.008288163177820359,0.008288163177820359,WBGene00004468,rpn-12
326,327,ZK265.6,9.43374906987381e-05,0.00609962558361902,0.617131962120068,0.15804799238305803,7.72475754682557,0.0828618931926852,0.000461616090562426,0.018272759831674,0.0089164609835548,0.018272759831674,WBGene00013958,ZK265.6
751,752,ZK265.8b,0.00156697269541195,0.0440565208764559,-2.8580700369556897,0.903884560419866,2.22358366926282,2.05939231877987,0.169236299516366,0.44351917440769395,0.39415592217600703,0.44351917440769395,WBGene00013960,cutl-8
1211,1212,ZK265.9,0.0049789523587441395,0.0868564271624814,0.33576063024067104,0.119556168410675,7.448179636404969,0.0327673857321621,0.0006226684471065,0.0050988473170171895,0.0100975896066747,0.0100975896066747,WBGene00044094,ZK265.9
1207,1208,ZK287.1a.1,0.0049337164271412,0.0863522900819921,-4.41252890160928,1.56955213242457,2.56175439017611,3.27762437668694,0.724087735385675,1.12353268691321,0.300210717329499,1.12353268691321,WBGene00013962,ZK287.1
783,784,ZK287.3,0.00175569575953017,0.0473478003109009,1.1899007882403603,0.380315535157438,4.7928517920779,0.51141577739402,0.0101638621581241,0.0983160675534419,0.0593640701759908,0.0983160675534419,WBGene00013964,ZK287.3
1133,1134,ZK287.6,0.004186770016400621,0.0780607393798573,0.48680983284530394,0.169991179045885,6.38011057187562,0.0252476828919694,0.00173869096837565,0.00788227421033184,0.0199340597466819,0.0199340597466819,WBGene00013966,ztf-9
1255,1256,ZK370.5,0.00540751289142649,0.0911517264292151,0.299149672843979,0.10754206266291698,7.90841531232411,0.0137490194732631,0.000364136427257231,0.000819140665022755,0.00830983500408879,0.00830983500408879,WBGene00022719,pdhk-2
1070,1071,ZK39.6,0.00368902982013331,0.0728264775789716,1.69029533169935,0.582138459143828,4.85484159389614,0.8155143185809609,0.00986994195893956,0.244293947251823,0.0571431750706412,0.244293947251823,WBGene00013931,clec-97
1290,1291,ZK418.8,0.00577100867430393,0.094513118823244,0.353551654517134,0.128074469542635,7.19070649503862,0.0399436707659515,0.0007471899705674469,0.00253373344562513,0.0115551123409031,0.0115551123409031,WBGene00022737,tofu-7
84,85,ZK455.4,4.1376050435138897e-07,0.000103343061647559,2.2826060312029903,0.45088376520570794,5.731856935734349,0.531201132385431,0.00370828890005688,0.1487638383945,0.0322269957426766,0.1487638383945,WBGene00000212,asm-2
53,54,ZK512.3,7.91162711731101e-08,3.12431954276778e-05,-2.32988963623834,0.433941540585125,4.48732656457771,0.622974425488872,0.0185960514064773,0.12263289407756599,0.0721789113684823,0.12263289407756599,WBGene00000425,ced-11
1064,1065,ZK524.2d,0.0036262736046933203,0.0723309320042712,-4.751733848961839,1.63347916400289,1.6141844104314,3.18580064708058,1.35445612159439,-0.11935610924592899,0.646734512829299,0.646734512829299,WBGene00006752,unc-13
243,244,ZK525.1,3.27117364111206e-05,0.002834525585821,-1.61540458730618,0.38890576682972205,4.13487204850144,0.32988546859096995,0.0213677464464171,0.0198995838679133,0.0920680251586434,0.0920680251586434,WBGene00001458,flp-15
192,193,ZK546.14a,1.2043246553828599e-05,0.0013193282999357401,0.7441588084038829,0.170023354136583,8.3938832607404,0.11982339841340801,0.00186290774660207,0.0198180479672883,0.007293291842393859,0.0198180479672883,WBGene00022765,ZK546.14
1160,1161,ZK593.1b,0.00449473439735021,0.0817832782815623,0.539656753048326,0.18994125822223398,6.35381500371081,0.282336086435245,0.00580246358460175,0.0212557975966822,0.0203049340531938,0.0212557975966822,WBGene00014001,pyk-2
