#Summary of results from all benchmarks
NoAnnotations,Threshold,Method,EnrichmentSetUsed,TissuesTested,GenesSubmitted,TissuesReturned,GenesUsed,AvgFold,AvgQ
100,0.9,avg,WBPaper00037950_hypodermis_larva_enriched_WBbt_0005733_1250,97,1250,9,-3498,1.8686725142661846,0.018239047859045697
100,0.9,avg,WBPaper00037950_intestine_embryo_enriched_WBbt_0005772_886,97,886,5,-3888,1.9670196623092298,0.00452990169305078
100,0.9,avg,WBPaper00037950_intestine_larva_enriched_WBbt_0005772_946,97,946,4,-3917,1.9875494759056702,1.771562503064539e-05
100,0.9,avg,WBPaper00037950_pharyngeal-muscle_embryo_enriched_WBbt_0005451_598,97,598,0,-4279,nan,nan
100,0.9,avg,WBPaper00037950_PVD-OLL-neurons_larva_enriched_WBbt_0006831_878,97,878,0,-3901,nan,nan
100,0.9,avg,WBPaper00040420_ALM_PLM_enriched_WBbt_0005406_198,97,198,9,-4778,3.9135725840072024,0.0016307788989863529
100,0.9,avg,WBPaper00040420_FLP_enriched_WBbt_0006828_288,97,288,18,-4667,3.354008172342068,0.006243891702295253
100,0.9,avg,WBPaper00044760_germline_specific_WBbt_0005784_2510,97,2510,3,-1998,2.1999487428268467,5.0085058938421754e-08
100,0.9,avg,WBPaper00045521_Spermatogenic_WBbt_0005784_2743,97,2743,12,-1835,1.6551887803866,0.009711958796935516
100,0.96,any,WBPaper00013489_Ray_Enriched_WBbt_0006941_25,123,25,1,-5025,8.929411764705883,0.026674236299388907
100,0.96,any,WBPaper00024505_pharyngeal_enriched_WBbt_0003681_329,123,329,15,-4599,2.6054484846456023,0.0057753618282450825
100,0.96,any,WBPaper00024970_GABAergic_neuron_specific_WBbt_0005190_247,123,247,55,-4679,3.1158382791814683,0.0038829353550817983
100,0.96,any,WBPaper00026980_intestine_enriched_WBbt_0005772_1970,123,1970,13,-2458,1.2897483656318836,0.01411538309665002
100,0.96,any,WBPaper00031003_0hr_muscle_enriched_WBbt_0003675_761,123,761,17,-3968,2.4093235839324336,0.003972476769707327
100,0.96,any,WBPaper00031003_24hr_muscle_enriched_WBbt_0003675_918,123,918,14,-3785,2.2816653878187143,0.0025326026065846637
100,0.96,any,WBPaper00031003_total_muscle_enriched_WBbt_0003675_1285,123,1285,14,-3286,2.2482395920464397,0.00016191933205338208
100,0.96,any,WBPaper00031532_Larva_Pan_Neuronal_Enriched_WBbt_0003679_1603,123,1603,67,-2740,2.3345510988519367,0.0009315213355647405
100,0.96,any,WBPaper00036375_enriched_in_PVD_OLL_WBbt_0006831_2180,123,2180,78,-1892,1.4031816546014626,0.005493821210458124
100,0.96,any,WBPaper00037950_all-neurons_larva_enriched_WBbt_0003679_1013,123,1013,64,-3670,3.0554998204335684,0.0007652884820204888
100,0.96,any,WBPaper00037950_AVA-neuron_embryo_enriched_WBbt_0005842_534,123,534,10,-4364,2.1776215240386225,0.007750792304169131
100,0.96,any,WBPaper00037950_BAG-neuron_embryo_enriched_WBbt_0006825_454,123,454,50,-4401,3.614113375217909,0.0033585989268584845
100,0.96,any,WBPaper00037950_coelomocytes_embryo_enriched_WBbt_0005751_570,123,570,8,-4304,1.710429673539497,0.029268157401276335
100,0.96,any,WBPaper00037950_coelomocytes_larva_enriched_WBbt_0005751_229,123,229,1,-4784,4.838632560363376,0.003501870861874303
